 count | bitstring | b4h  | b8h | b16h 
   220 | 01101100  | 1230 | 33H | 6c
   221 | 01101101  | 1231 | 33M | 6d
   222 | 0110111   | 123Q | 33Q | 6Y
   223 | 01101110  | 1232 | 33R | 6e
   224 | 01101111  | 1233 | 33V | 6f
   225 | 0111      | 13   | 3Q  | 7
   226 | 01110     | 13G  | 3R  | 7G
   227 | 011100    | 130  | 34  | 7H
   228 | 0111000   | 130G | 34G | 7J
   229 | 01110000  | 1300 | 34H | 70
   230 | 01110001  | 1301 | 34M | 71
   231 | 0111001   | 130Q | 34Q | 7K
   232 | 01110010  | 1302 | 34R | 72
   233 | 01110011  | 1303 | 34V | 73
   234 | 011101    | 131  | 35  | 7M
   235 | 0111010   | 131G | 35G | 7N
   236 | 01110100  | 1310 | 35H | 74
   237 | 01110101  | 1311 | 35M | 75
   238 | 0111011   | 131Q | 35Q | 7P
   239 | 01110110  | 1312 | 35R | 76
   240 | 01110111  | 1313 | 35V | 77
   241 | 01111     | 13Q  | 3V  | 7Q
   242 | 011110    | 132  | 36  | 7R
   243 | 0111100   | 132G | 36G | 7S
   244 | 01111000  | 1320 | 36H | 78
   245 | 01111001  | 1321 | 36M | 79
   246 | 0111101   | 132Q | 36Q | 7T
   247 | 01111010  | 1322 | 36R | 7a
   248 | 01111011  | 1323 | 36V | 7b
   249 | 011111    | 133  | 37  | 7V
   250 | 0111110   | 133G | 37G | 7Z
   251 | 01111100  | 1330 | 37H | 7c
   252 | 01111101  | 1331 | 37M | 7d
   253 | 0111111   | 133Q | 37Q | 7Y
   254 | 01111110  | 1332 | 37R | 7e
   255 | 01111111  | 1333 | 37V | 7f
   256 | 1         | Q    | Q   | Q
   257 | 10        | 2    | R   | R
   258 | 100       | 2G   | 4   | S
   259 | 1000      | 20   | 4G  | 8
   260 | 10000     | 20G  | 4H  | 8G
   261 | 100000    | 200  | 40  | 8H
   262 | 1000000   | 200G | 40G | 8J
   263 | 10000000  | 2000 | 40H | 80
   264 | 10000001  | 2001 | 40M | 81
   265 | 1000001   | 200Q | 40Q | 8K
   266 | 10000010  | 2002 | 40R | 82
   267 | 10000011  | 2003 | 40V | 83
   268 | 100001    | 201  | 41  | 8M
   269 | 1000010   | 201G | 41G | 8N
   270 | 10000100  | 2010 | 41H | 84
   271 | 10000101  | 2011 | 41M | 85
   272 | 1000011   | 201Q | 41Q | 8P
   273 | 10000110  | 2012 | 41R | 86
   274 | 10000111  | 2013 | 41V | 87
   275 | 10001     | 20Q  | 4M  | 8Q
   276 | 100010    | 202  | 42  | 8R
   277 | 1000100   | 202G | 42G | 8S
